Rank,Symbol
661,SGMART
662,SAFARI
663,TTML
664,BIRLACORPN
665,CERA
666,SANOFI
667,ICIL
668,MAHSEAMLES
669,TANLA
670,KIRLFER
671,INDIAGLYCO
672,NEWGEN
673,MIDHANI
674,BALAMINES
675,GMRP_UI
676,KWIL
677,NESCO
678,PRICOLLTD
679,GARFIBRES
680,GNFC
681,EPL
682,POWERICA
683,WESTLIFE
684,SKFINDIA
685,JYOTHYLAB
686,IMFA
687,REDTAPE
688,ELANTAS
689,PICCADIL
690,INOXGREEN
691,GPPL
692,BAJAJCON
693,RAIN
694,JSLL
695,TCI
696,JKLAKSHMI
697,DYNAMATECH
698,ABFRL
699,BENGALASM
700,RCF
701,VIKRAMSOLR
702,OMNI
703,ETHOSLTD
704,RIIT
705,IBULLSLTD
706,AJAXENGG
707,GANESHHOU
708,PRECWIRE
709,CAMPUS
710,KINGFA
711,LOTUSDEV
712,GALAXYSURF
713,FDC
714,SUPRIYA
715,MAXESTATES
716,SJS
717,SHAKTIPUMP
718,ACI
719,TRANSRAILL
720,JUSTDIAL
721,HNDFDS
722,ASHAPURMIN
723,CITIUSINVT
724,JKPAPER
725,GAEL
726,SENORES
727,SUPRAJIT
728,PAISALO
729,AXISCADES
730,DBL
731,ISGEC
732,UNIMECH
733,PRAJIND
734,EBGNG
735,KOVAI
736,AARTIPHARM
737,ITDC
738,STYL
739,DODLA
740,MAPMYINDIA
741,GSFC
742,GREENLAM
743,NEPHROPLUS
744,SUNFLAG
745,CSBBANK
746,LATENTVIEW
747,SKIPPER
748,ARVINDFASN
749,PNCINFRA
750,DBREALTY
751,GOKULAGRO
752,SIS
753,ALOKINDS
754,KUSUMGAR
755,GOKEX
756,KENNAMET
757,KSHINTL
758,CEIGALL
759,TVSSCS
760,FIEMIND
761,CCAVENUE
762,INFIBPP
763,HCC
764,RPEL
765,DCBBANK
766,SENCO
767,GREAVESCOT
768,NEOGEN
769,JAIBALAJI
770,KMEW
771,VMART
772,FEDFINA
773,SMLMAH
774,SAATVIKGL
775,CORDELIA
776,BECTORFOOD
777,SAPPHIRE
778,AHLUCONT
779,INNOVACAP
780,MBAPL
781,SETL
782,INDUSINVIT
783,MASFIN
784,HAPPSTMNDS
785,KALPATARU
786,NIRLON
787,PRSMJOHNSN
788,TIIL
789,MOIL
790,GVPIL
791,STYLAMIND
792,IFBIND
793,TIMEX
794,CENTUM
795,MASTEK
796,ORCHPHARMA
797,AEROFLEX
798,BALUFORGE
799,KISSHT
800,SURYAROSNI
801,JAMNAAUTO
802,IONEXCHANG
803,PURVA
804,BLISSGVS
805,GOLDIAM
806,SMARTWORKS
807,SUBROS
808,ENTERO
809,JSFB
810,RUSTOMJEE
811,PDSL
812,GOODLUCK
813,OPTIEMUS
814,SWSOLAR
815,CRAMC
816,SHILCTECH
817,GULFOILLUB
818,RESPONIND
819,NORTHARC
820,INDIGOPNTS
821,NACLIND
822,EMIL
823,PTC
824,ICRA
825,CARERATING
826,DATAMATICS
827,LGBBROSLTD
828,RPTECH
829,SHARDAMOTR
830,LUMAXIND
831,BANSALWIRE
832,THOMASCOOK
833,RBA
834,PILANIINVS
835,CMRGREEN
836,VADILALIND
837,DEEDEV
838,RPGLIFE
839,IOLCP
840,MOSCHIP
841,SYMPHONY
842,RENUKA
843,TEXRAIL
844,RTNPOWER
845,ZOTA
846,LXCHEM
847,HAWKINCOOK
848,MIDWESTLTD
849,NETWORK18
850,CYIENTDLM
851,RAYMONDREL
852,MHRIL
853,DHANUKA
854,ELECTCAST
855,EPIGRAL
856,OSWALPUMPS
857,AVANTEL
858,RALLIS
859,COCKERILL
860,SUNTECK
861,AURIONPRO
862,SWARAJENG
863,AGI
864,FCL
865,WPIL
866,MSTCLTD
867,RTNINDIA
868,PACEDIGITK
869,BANARISUG
870,RAYMONDLSL
871,HIRECT
872,SHOPERSTOP
873,QUESS
874,INDOSTAR
875,ARTEMISMED
876,REFEX
877,JUNIPER
878,KRISHANA
879,GUJALKALI
880,WAKEFIT
881,ANUP
882,KSCL
883,CMSINFO
884,UNICHEMLAB
885,SGFIN
886,PSPPROJECT
887,ROLEXRINGS
888,VIPIND
889,VAIBHAVGBL
890,WEBELSOLAR
891,AGIIL
892,SSWL
893,SBCL
894,ELLEN
895,VISHNU
896,UNIVCABLES
897,VMARCIND
898,KIRLOSIND
899,MANINFRA
900,MUTHOOTMF
901,RAYMOND
902,NRBBEARING
903,TURTLEMINT
904,GUJTHEM
905,AYE
906,VRLLOG
907,BAJAJHIND
908,KSL
909,VSTIND
910,GREENPLY
911,KDDL
912,EIEL
913,SOTL
914,MANINDS
915,VSTTILLERS
916,RAMRAT
917,NOVARTIND
918,DECNGOLD
919,CAPILLARY
920,GHCL
921,STYRENIX
922,HARSHA
923,GUFICBIO
924,POCL
925,HEMIPROP
926,LUXIND
927,BAJAJELEC
928,TFCILTD
929,JTEKTINDIA
930,MAHLOG
931,FOSECOIND
932,ROSSTECH
933,AARTIDRUGS
934,SINDHUTRAD
935,ASHIANA
936,SANATHAN
937,SAMHI
938,VENUSPIPES
939,DBCORP
940,SHAREINDIA
941,SANGHVIMOV
942,SANDHAR
943,JKIL
944,IDEAFORGE
945,ORIENTELEC
946,LASERPOWER
947,EMUDHRA
948,FUSION
949,FUSIONPP
950,INDOTECH
951,ADVENZYMES
952,GMMPFAUDLR
953,HGINFRA
954,INDIQUBE
955,SMSPHARMA
956,WHEELS
957,SEAMECLTD
958,YASHO
959,HEIDELBERG
960,TRUALT
961,NFL
962,GRAUWEIL
963,BHAGCHEM
964,ROUTE
965,PREMEXPLN
966,MAYURUNIQ
967,ASHOKA
968,SAMBHV
969,WELSPLSOL
970,KERNEX
971,PITTIENG
972,MARINE
973,MPSLTD
974,CARYSIL
975,KNRCON
976,TARC
977,WSTCSTPAPR
978,RELTD
979,CIGNITITEC
980,PANACEABIO
981,ARSSBL
982,INDRAMEDCO
983,RML
984,NPST
985,KOLTEPATIL
986,POLYPLEX
987,MOREPENLAB
988,SHANTIGEAR
989,ADFFOODS
990,GOPAL
991,JASH
992,TATVA
993,NAVNETEDUL
994,CRIZAC
995,NIITMTS
996,SEIL
997,XPROINDIA
998,CARRARO
999,JINDWORLD
1000,TVSSRICHAK
